iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.6899533463920192,0.07344197628785508,0.6979093386224852,0.038153749758004174,0.6171024257531812,0.010634920152814897,0.6131442074279426,0.008119337222876716
1,0.6883880981223501,0.07789474253552142,0.7128035565397363,0.018513851666750163,0.5690130686542754,0.02636620210913817,0.5611988758276336,0.017274471231444297
2,0.7017214314556834,0.06332621784184168,0.7206293801001328,0.013909275148371427,0.5357531114535812,0.03324914990858622,0.5260967969811304,0.018776458360472616
3,0.7047886113186574,0.06069857733249043,0.7231840577009576,0.014323359304775055,0.5100352519198282,0.031974328649899866,0.4969839424285266,0.018413712591094315
4,0.70693717995688,0.059882450213568035,0.7263103414250613,0.017018511277205408,0.5023167423573083,0.029018674708834253,0.4839144664684295,0.020024645339956154
5,0.7144409664587582,0.042771221141342276,0.725055274183697,0.02579557336175315,0.4907214804533154,0.024170413130755495,0.472259381062185,0.021819275694563104
6,0.7095439993077789,0.038716951411341204,0.7242277477819792,0.03929542335498831,0.4832440650580237,0.027890258016505014,0.4620313184224078,0.02039194394996986
7,0.7189915101755266,0.03662956644127921,0.7296586867256838,0.028847120813990004,0.47354222468870066,0.03040105747572791,0.4503567416220099,0.02128894078298358
8,0.7247859205131573,0.0424831647218252,0.733923590510877,0.019033489369440486,0.46983018457354,0.03438267226028984,0.4452820176685247,0.021130428955735938
9,0.7330014144945963,0.039233902635914766,0.7306908652182218,0.025549214106179094,0.4661429651800019,0.03318037865440568,0.4403991105149322,0.021617821084877354
10,0.7292405987713074,0.03542572383041663,0.7364414487394473,0.027258933150528963,0.4600226500228454,0.03474630488136464,0.43390411649658667,0.018047583613026875
11,0.7312469479776567,0.03618029011526162,0.7381246764895926,0.02671706426656615,0.4572398461646145,0.03327816386536166,0.42938496511529145,0.0190203875584135
12,0.729105015719189,0.031544784124316515,0.7394264675951241,0.026435767284325076,0.45486921269190306,0.033713881467004075,0.4256623510994821,0.018260470234671904
13,0.7258304250430234,0.03327017554092529,0.739229880546381,0.0286653010226902,0.4512962338198143,0.03754878305200165,0.4220568074097327,0.015937226738254037
14,0.726027731489316,0.02614744072743288,0.7389520133730649,0.035493929596607195,0.44831793402786213,0.039762577040076505,0.41744830118911447,0.014749589274462882
15,0.7316792531368361,0.029684179071559152,0.7426011320805447,0.028838990404157362,0.4464313904552732,0.04150451941221499,0.41573141549722914,0.013265421413300999
16,0.7370381736765663,0.028356641465210997,0.7458477081736884,0.029185819646418136,0.44566188309313554,0.048733277001359834,0.4095578138062848,0.014689965673396433
17,0.7406183467686198,0.02877635363623822,0.7467941697329012,0.024509895250763327,0.4429069011106502,0.052540308740746534,0.40664070964028803,0.011670030691985009
18,0.7374453872909935,0.030119770323589222,0.749451589119633,0.028676898507541713,0.4441099718157814,0.05409171261380858,0.4044945375081725,0.012867607254320674
19,0.7374453872909935,0.030119770323589222,0.7506835560353669,0.029470519755794133,0.4428786026799775,0.05391713024703923,0.4025254218432274,0.01324975716239824
20,0.7395889366207573,0.036763816115606175,0.7514973664366079,0.028499671743009516,0.44188089232713024,0.05739162949479423,0.4007425655048891,0.013018727340488336
21,0.748511303435615,0.04469925103502278,0.7576535422763665,0.018092808887481177,0.44021984293362354,0.05904423163267617,0.399155932843839,0.011296680291684423
22,0.7513113034356149,0.04415477232466135,0.7579957340867147,0.01738021652452637,0.44107844727251455,0.060845534692702256,0.3975027859334187,0.010493513148120503
23,0.7513113034356149,0.04415477232466135,0.7606614113698289,0.017361030948770877,0.4410068356425265,0.06099395425369566,0.39602139245523194,0.010797775603067527
24,0.7462310171529827,0.04298452123928739,0.7587746883925947,0.017989054450427866,0.4404798561031666,0.060910321235760366,0.395243617953087,0.010871285457192025
25,0.743154398338143,0.047298771763860034,0.759236091317113,0.0189480821734844,0.43842486918720713,0.05935469110764409,0.3940610103153081,0.011688759331553597
26,0.7353424277005899,0.038036783788834676,0.7603501899007873,0.019061482942316462,0.4365575957146094,0.05755047605148195,0.39232419488825426,0.011355176262072775
27,0.7432941937728724,0.04819514625023153,0.7650042665843777,0.01604162672268582,0.43699756895333774,0.06023460446324887,0.38980182407863734,0.011830546345986542
28,0.7406032096993398,0.04597944743587875,0.7654557347163171,0.014558459329847291,0.43612961916339843,0.060649674107385684,0.38787313512450183,0.011444831357481968
29,0.7420269761420185,0.04750532917875382,0.7651104216100932,0.012894040569658417,0.4351089131777249,0.06216038375993937,0.38552329442013117,0.011981677853048342
30,0.7394694339450747,0.04876665230850319,0.7640799775895707,0.012558579925266095,0.43461234344583677,0.06206008949532446,0.3837753033080175,0.013430145662066139
